customer_id,customer_name,email,active,store,city,country,total_revenue,total_rentals,avg_payment_amount,most_recent_rental_date,customer_tier
148,Eleanor Hunt,eleanor.hunt@sakilacustomer.org,1,"Lethbridge, Canada",Saint-Denis,Runion,211.55,46,4.7,2026-06-19,High Value
526,Karl Seal,karl.seal@sakilacustomer.org,1,"Woodridge, Australia",Cape Coral,United States,208.58,45,4.97,2026-04-25,High Value
178,Marion Snyder,marion.snyder@sakilacustomer.org,1,"Woodridge, Australia",Santa Brbara dOeste,Brazil,194.61,39,4.99,2026-05-29,High Value
137,Rhonda Kennedy,rhonda.kennedy@sakilacustomer.org,1,"Woodridge, Australia",Apeldoorn,Netherlands,191.62,39,5.04,2026-06-25,High Value
144,Clara Shaw,clara.shaw@sakilacustomer.org,1,"Lethbridge, Canada",Molodetno,Belarus,189.6,42,4.74,2026-05-10,High Value
459,Tommy Collazo,tommy.collazo@sakilacustomer.org,1,"Lethbridge, Canada",Qomsheh,Iran,183.63,38,4.96,2026-04-30,High Value
181,Ana Bradley,ana.bradley@sakilacustomer.org,1,"Woodridge, Australia",Memphis,United States,167.67,34,5.08,2026-05-08,High Value
410,Curtis Irby,curtis.irby@sakilacustomer.org,1,"Woodridge, Australia",Richmond Hill,Canada,167.62,38,4.41,2026-04-19,High Value
236,Marcia Dean,marcia.dean@sakilacustomer.org,1,"Lethbridge, Canada",Tanza,Philippines,166.61,42,4.27,2026-05-20,High Value
403,Mike Way,mike.way@sakilacustomer.org,1,"Lethbridge, Canada",Valparai,India,162.67,35,4.93,2026-04-28,High Value
522,Arnold Havens,arnold.havens@sakilacustomer.org,1,"Woodridge, Australia",Santa Rosa,Philippines,161.68,33,5.05,2026-04-20,High Value
469,Wesley Bull,wesley.bull@sakilacustomer.org,1,"Woodridge, Australia",Ourense (Orense),Spain,158.65,40,4.53,2026-04-29,High Value
470,Gordon Allard,gordon.allard@sakilacustomer.org,1,"Lethbridge, Canada",Hodeida,Yemen,157.69,32,5.09,2026-04-18,High Value
373,Louis Leone,louis.leone@sakilacustomer.org,1,"Lethbridge, Canada",Tanauan,Philippines,156.66,35,4.61,2026-04-19,High Value
