customer_id,customer_name,country,fav_mpaa_rating,fav_film_ctgry,customer_tier,recency_segment,engagement_segment,total_payments,rev_per_rentals,avg_payment_amount,unique_films,films_per_month,customer_tenure_days,days_since_last_rental,total_rentals,categories_touched,top_rental_category,top_category_rentals,category_engagement_tier,is_champion,is_winback_vip,is_winback_growth,is_winback_reactivation,is_upsell_core,is_upsell_scale,is_engagement_growth,is_churn_watchlist,is_narrow_explorer,primary_segment,market_segment
3013,Michelle Lang,India,PG,Classics,Low Value,Lapsed,Very Low Engagement,6.97,2.32,2.32,3,0.08,1059,824,3,3,Classics,1,Low Engagement Category,False,False,False,True,False,False,True,False,True,Win-Back Reactivation,Win-Back
2359,Steven Knight,Mozambique,NC-17,Sci-Fi,Low Value,Lapsed,Very Low Engagement,8.95,1.79,1.79,5,0.13,1161,589,5,4,Sci-Fi,2,High Engagement Category,False,False,False,True,False,False,True,False,True,Win-Back Reactivation,Win-Back
1359,Steven Knight,Mozambique,NC-17,Sci-Fi,Low Value,Lapsed,Very Low Engagement,8.95,1.79,1.79,5,0.13,1115,225,5,4,Sci-Fi,2,High Engagement Category,False,False,False,True,False,False,True,False,True,Win-Back Reactivation,Win-Back
1590,Amanda Pace,Russian Federation,PG,Animation,Low Value,Lapsed,Very Low Engagement,10.95,2.19,2.19,5,0.13,1171,379,5,5,Animation,1,High Engagement Category,False,False,False,True,False,False,True,False,True,Win-Back Reactivation,Win-Back
4197,Karen Singh,India,NC-17,Foreign,Low Value,Active,Very Low Engagement,21.74,4.35,4.35,5,0.13,1178,27,5,4,Foreign,2,Medium Engagement Category,False,False,False,False,False,False,True,False,True,Engagement Growth,Growth
9491,Matthew Grimes,China,PG-13,Horror,Low Value,Active,Very Low Engagement,16.95,3.39,3.39,5,0.13,1192,20,5,4,Horror,2,Low Engagement Category,False,False,False,False,False,False,True,False,True,Engagement Growth,Growth
9908,Claire Parker,India,R,Documentary,Low Value,Pre-Lapsed,Very Low Engagement,13.94,2.32,2.32,6,0.14,1252,112,6,5,Documentary,2,Medium Engagement Category,False,False,False,False,False,False,True,True,True,Engagement Growth,Growth
6634,Shannon Hoffman,United States,PG,Action,Low Value,Pre-Lapsed,Very Low Engagement,17.27,2.88,2.88,6,0.14,1250,164,6,6,Action,1,High Engagement Category,False,False,False,False,False,False,True,True,True,Engagement Growth,Growth
1567,Michelle Nunez,Mexico,G,Action,Low Value,Lapsed,Very Low Engagement,19.94,3.32,3.32,6,0.14,1251,224,6,6,Action,1,High Engagement Category,False,False,False,True,False,False,True,False,True,Win-Back Reactivation,Win-Back
7147,John Moore,Mexico,PG,Action,Low Value,Lapsed,Very Low Engagement,21.94,3.66,3.66,6,0.14,1261,717,6,6,Action,1,High Engagement Category,False,False,False,True,False,False,True,False,True,Win-Back Reactivation,Win-Back
2916,Courtney Molina,Nigeria,PG,Comedy,Low Value,Pre-Lapsed,Very Low Engagement,19.66,3.28,3.28,6,0.14,1258,115,6,4,Comedy,2,Low Engagement Category,False,False,False,False,False,False,True,True,True,Engagement Growth,Growth
1519,Randy Blevins,Turkey,NC-17,Action,Low Value,Lapsed,Very Low Engagement,19.94,3.32,3.32,6,0.15,1172,212,6,4,Action,2,High Engagement Category,False,False,False,True,False,False,True,False,True,Win-Back Reactivation,Win-Back
6228,John Wilson,India,PG-13,Drama,Low Value,Lapsed,Very Low Engagement,15.94,2.66,2.66,6,0.16,1151,205,6,4,Drama,2,High Engagement Category,False,False,False,True,False,False,True,False,True,Win-Back Reactivation,Win-Back
3699,Eric Gutierrez,China,PG-13,Family,Low Value,Lapsed,Very Low Engagement,19.06,3.18,3.18,6,0.16,1107,469,6,5,Family,2,Medium Engagement Category,False,False,False,True,False,False,True,False,True,Win-Back Reactivation,Win-Back
9501,Judith Adams,Venezuela,PG,Comedy,Low Value,Lapsed,Very Low Engagement,20.93,2.99,2.99,7,0.16,1276,365,7,6,Comedy,2,Low Engagement Category,False,False,False,True,False,False,True,False,True,Win-Back Reactivation,Win-Back
3765,Shannon Davis,China,PG,Animation,Low Value,Active,Very Low Engagement,22.49,3.75,3.75,6,0.16,1115,10,6,6,Animation,1,High Engagement Category,False,False,False,False,False,False,True,False,True,Engagement Growth,Growth
5288,Robert Thompson,China,G,Sports,Low Value,Pre-Lapsed,Very Low Engagement,12.95,2.59,2.59,5,0.16,950,153,5,3,Sports,2,High Engagement Category,False,False,False,False,False,False,True,True,True,Engagement Growth,Growth
8452,Michael Williams,Nepal,PG-13,Children,Low Value,Pre-Lapsed,Very Low Engagement,21.94,3.66,3.66,6,0.16,1115,79,6,4,Children,2,Low Engagement Category,False,False,False,False,False,False,True,True,True,Engagement Growth,Growth
8570,Mary Burns,Brazil,R,Foreign,Low Value,Active,Very Low Engagement,21.94,3.66,3.66,6,0.16,1120,19,6,5,Foreign,2,Medium Engagement Category,False,False,False,False,False,False,True,False,True,Engagement Growth,Growth
3323,Kelsey Guerra,United States,PG-13,Action,Low Value,Active,Very Low Engagement,19.94,3.32,3.32,6,0.16,1116,20,6,6,Action,1,High Engagement Category,False,False,False,False,False,False,True,False,True,Engagement Growth,Growth
